1730824131991	90.4
1730824132625	92.0
1730824133317	92.6
1730824134100	74.6
1730824134929	69.8
1730824135804	68.2
1730824136674	68.5
1730824137567	68.2
1730824138401	70.8
1730824139231	72.8
1730824140032	77.3
1730824140741	80.2
1730824141512	82.4
1730824142198	82.4
1730824142987	76.9
1730824143825	71.4
1730824144690	70.1
1730824145614	68.5
1730824146407	68.2
1730824147263	71.1
1730824148111	74.6
1730824148878	76.5
1730824149645	79.4
1730824150346	81.1
1730824151106	83.8
1730824151786	86.2
1730824152473	88.2
1730824153097	90.4
1730824153855	90.4
1730824154465	88.8
1730824155153	83.3
1730824155920	77.7
1730824156847	72.1
1730824157630	70.4
1730824158483	70.8
1730824159262	72.1
1730824160151	74.6
1730824160883	76.9
1730824161647	78.9
1730824162344	81.1
1730824163106	82.9
1730824163803	84.7
1730824164486	85.2
1730824165202	85.7
1730824166016	80.6
1730824166730	72.8
1730824167578	71.1
1730824168437	70.4
1730824169319	70.8
1730824170138	72.8
1730824170911	76.1
1730824171685	77.7
1730824172450	79.8
1730824173151	83.3
1730824173827	87.7
1730824174491	89.8
1730824175165	87.2
1730824175918	80.2
1730824176753	72.8
1730824177622	70.8
1730824178432	71.8
1730824179229	73.9
1730824180031	75.4
1730824180839	75.8
1730824181600	76.1
1730824182365	78.1
1730824183095	81.1
1730824183824	84.3
1730824184465	90.9
1730824185179	93.8
1730824185743	94.3
1730824186432	90.9
1730824187124	88.2
1730824187795	84.7
1730824188562	81.5
1730824189319	76.1
1730824190142	75.4
1730824190910	76.9
1730824191681	77.3
1730824192437	78.5
1730824193190	78.5
1730824193919	80.6
1730824194655	82.4
1730824195409	84.3
1730824196126	85.7
1730824196744	88.2
1730824197422	90.4
1730824198090	91.5
1730824198714	90.4
1730824199450	84.3
1730824200308	72.5
1730824201105	69.8
1730824201944	71.4
1730824202781	75.0
1730824203625	76.9
1730824204331	78.9
1730824205031	81.5
1730824205720	86.2
1730824206434	87.2
1730824207140	85.7
1730824207884	76.9
1730824208756	68.2
1730824209676	66.1
1730824210569	66.1
1730824211517	64.9
1730824212392	67.6
1730824213246	70.8
1730824213982	80.6
1730824214705	85.2
