1730824128924	86.2
1730824129833	69.8
1730824130644	74.3
1730824131312	85.2
1730824131991	90.4
1730824132625	92.0
1730824133317	92.6
1730824134100	74.6
1730824134929	69.8
1730824135804	68.2
1730824136674	68.5
1730824137567	68.2
1730824138401	70.8
1730824139231	72.8
1730824140032	77.3
1730824140741	80.2
1730824141512	82.4
1730824142198	82.4
1730824142987	76.9
1730824143825	71.4
1730824144690	70.1
1730824145614	68.5
1730824146407	68.2
1730824147263	71.1
1730824148111	74.6
1730824148878	76.5
1730824149645	79.4
1730824150346	81.1
1730824151106	83.8
1730824151786	86.2
1730824152473	88.2
1730824153097	90.4
1730824153855	90.4
1730824154465	88.8
1730824155153	83.3
1730824155920	77.7
1730824156847	72.1
1730824157630	70.4
1730824158483	70.8
1730824159262	72.1
1730824160151	74.6
1730824160883	76.9
1730824161647	78.9
1730824162344	81.1
1730824163106	82.9
1730824163803	84.7
1730824164486	85.2
1730824165202	85.7
1730824166016	80.6
1730824166730	72.8
1730824167578	71.1
1730824168437	70.4
1730824169319	70.8
1730824170138	72.8
1730824170911	76.1
1730824171685	77.7
1730824172450	79.8
1730824173151	83.3
1730824173827	87.7
1730824174491	89.8
1730824175165	87.2
1730824175918	80.2
1730824176753	72.8
1730824177622	70.8
1730824178432	71.8
1730824179229	73.9
1730824180031	75.4
1730824180839	75.8
1730824181600	76.1
1730824182365	78.1
1730824183095	81.1
1730824183824	84.3
1730824184465	90.9
1730824185179	93.8
1730824185743	94.3
1730824186432	90.9
1730824187124	88.2
1730824187795	84.7
1730824188562	81.5
1730824189319	76.1
1730824190142	75.4
1730824190910	76.9
1730824191681	77.3
1730824192437	78.5
1730824193190	78.5
1730824193919	80.6
1730824194655	82.4
1730824195409	84.3
1730824196126	85.7
1730824196744	88.2
1730824197422	90.4
1730824198090	91.5
1730824198714	90.4
1730824199450	84.3
1730824200308	72.5
1730824201105	69.8
1730824201944	71.4
1730824202781	75.0
1730824203625	76.9
1730824204331	78.9
1730824205031	81.5
1730824205720	86.2
1730824206434	87.2
1730824207140	85.7
1730824207884	76.9
1730824208756	68.2
1730824209676	66.1
1730824210569	66.1
1730824211517	64.9
1730824212392	67.6
1730824213246	70.8
1730824213982	80.6
1730824214705	85.2
1730824215432	85.7
1730824216177	74.6
1730824217081	70.1
1730824217881	71.1
1730824218701	71.4
1730824219562	71.1
1730824220394	72.5
1730824221209	73.9
1730824221997	75.8
1730824222759	76.9
1730824223511	78.9
1730824224344	81.1
1730824224988	82.9
1730824225711	84.7
1730824226471	85.7
1730824227074	86.7
1730824227771	89.3
1730824228433	91.5
1730824229065	92.0
1730824229697	93.8
1730824230371	93.8
1730824230988	90.4
1730824231695	86.2
1730824232419	82.0
1730824233190	78.5
1730824233960	76.9
1730824234762	78.1
1730824235503	79.4
1730824236238	82.4
1730824237045	83.3
1730824237692	87.2
1730824238285	90.4
1730824238916	93.2
1730824239562	92.0
1730824240273	84.3
1730824241057	76.1
1730824241874	75.0
1730824242699	79.4
1730824243329	89.8
1730824243921	94.3
1730824244542	95.5
1730824245242	96.2
1730824245824	92.0
1730824246547	82.4
1730824247321	76.1
1730824248168	72.8
1730824248992	73.2
1730824249758	75.8
1730824250569	77.3
1730824251351	78.5
1730824252060	80.2
1730824252788	82.0
1730824253488	83.3
1730824254237	82.9
1730824254966	80.6
1730824255830	78.5
1730824256500	78.9
1730824257229	79.8
1730824258045	78.1
1730824258835	75.0
1730824259705	72.5
1730824260478	70.8
1730824261286	73.2
1730824262101	74.3
1730824262881	77.3
1730824263627	79.4
1730824264392	80.2
1730824265153	81.1
1730824265854	82.0
1730824266647	80.2
1730824267440	80.2
1730824268069	81.1
1730824268791	83.3
1730824269522	83.8
1730824270215	83.8
1730824270940	82.9
1730824271691	79.8
1730824272490	76.9
1730824273274	74.3
1730824274087	74.6
1730824274872	75.4
1730824275657	76.5
1730824276434	77.3
1730824277181	79.4
1730824277956	80.6
1730824278694	81.5
1730824279392	82.4
1730824280136	81.5
1730824280860	80.6
1730824281640	78.9
1730824282433	80.6
1730824283076	84.3
1730824283824	89.8
1730824284420	90.4
1730824285075	89.3
1730824285815	82.9
1730824286568	78.5
1730824287403	73.2
1730824288202	75.4
1730824288994	78.9
1730824289658	82.4
1730824290352	86.7
1730824291002	90.4
1730824291651	92.6
1730824292306	93.8
1730824292995	90.4
1730824293657	85.7
1730824294383	82.9
1730824295107	82.4
1730824295891	78.9
1730824296672	74.6
1730824297512	72.5
1730824298321	73.5
1730824299086	76.9
1730824299828	80.2
1730824300559	84.3
1730824301238	87.2
1730824301906	89.8
1730824302583	90.4
1730824303237	88.8
1730824303938	87.7
1730824304614	87.7
1730824305321	87.2
1730824305988	86.7
1730824306684	86.2
1730824307410	83.8
1730824308137	80.2
1730824308917	79.8
1730824309676	81.1
1730824310428	81.5
1730824311084	83.8
1730824311801	83.3
1730824312529	84.3
1730824313230	84.7
1730824313949	82.0
1730824314698	80.2
1730824315478	78.5
1730824316232	78.5
1730824317000	79.8
1730824317712	81.1
1730824318453	82.0
1730824319181	82.0
1730824319965	75.8
1730824320786	73.5
1730824321614	74.3
1730824322404	72.5
1730824323164	77.7
1730824323902	83.8
1730824324606	84.7
1730824325327	81.1
1730824326133	76.5
1730824326900	76.9
1730824327701	78.5
1730824328474	77.3
1730824329209	76.9
1730824330008	77.3
1730824330732	79.8
